id,jname,jci,yi_id
321,讼之讼,文巧俗弊，将反大质。僵死如麻，流血濡橹。皆知其母，不识其父，干戈乃止。,6
322,讼之乾,文王四乳，仁爱笃厚。子畜十男，夭折无有。,6
323,讼之坤,日入望东，不见子家。长女无夫，左手搔头。,6
324,讼之屯,东上泰山，见尧自言。申理我冤，以解忧患。,6
325,讼之蒙,奎轸温汤，过角宿房。宣时布和，无所不通。,6
326,讼之需,饮船牵头，虽拘无忧。王母善祷，祸不成灾。,6
327,讼之师,凫得水没，喜笑自啄。毛羽悦泽，利以攻玉。公出不复，伯氏客宿。,6
328,讼之比,水流趋下，欲至东海。求我所有，买鲂与鲤。,6
329,讼之小畜,獐鹿逐牧，安饱其居。反返次舍，无有疾故。,6
330,讼之履,树植藿豆，不得芸锄。王事靡盬，秋无所收。,6
331,讼之泰,弱水之西，有西王母。生不知死，与天相保。,6
332,讼之否,数穷廓落，困于历室。卒登玉堂，与尧侑食。,6
333,讼之同人,子鉏执麟，春秋作元。阴圣将终，尼父悲心。,6
334,讼之大有,尹氏伯奇，父子生离。无罪被辜，长舌所为。,6
335,讼之谦,播木折枝，与母别离。九皋难扣，绝不相知。,6
336,讼之豫,弱鸡无距，与鹊格斗。翅折目盲，为鸠所伤。,6
337,讼之随,甲乙丙丁，俱归我庭。三丑六子，入门见母。,6
338,讼之蛊,桑叶螟蠹，衣弊如络。女工不成，丝布为玉。,6
339,讼之临,开牢辟门，巡狩释冤。夏台羑里，汤文悦喜。,6
340,讼之观,钦明之德，坐前玉食。必保嘉美，长受安福。,6
341,讼之噬嗑,武夫司空，多口争讼。金火当户，民不安处，年饥无有。,6
342,讼之贲,紫阁九重，尊严在中。黄帝尧舜，履行至公。冠带垂衣，天下康宁。,6
343,讼之剥,负牛上山，力劣行难。烈风雨雪，遮遏我前。中道复还，忧苦自欢。,6
344,讼之复,褰兔缺唇，行难齿寒，口痛不言，为身生患。,6
345,讼之无妄,合体比翼，嘉耦相得，与君同好，使我有福。,6
346,讼之大畜,口啄卒卒，忧从中来。丧我宝贝，妻妾失位。,6
347,讼之颐,两心不同，或从西东。明论终日，莫适相从。,6
348,讼之大过,哑哑笑言，与善饮食。长乐行觞，千秋起舞，拜受大福。,6
349,讼之坎,初忧后喜，与福为市。八佾列陈，饮御诸友。,6
350,讼之离,西徙无家，破其新车。王孙失利，不如止居。,6
351,讼之咸,凤凰在左，麒麟处右。仁圣相遇，伊吕集聚。时无殃咎，福为我母。,6
352,讼之恒,区脱康居，慕仁入朝。湛露之欢，三爵毕恩，复归旧庐。,6
353,讼之遁,疾贫望幸，使伯行贩。关牢择羊，多得大牂。,6
354,讼之大壮,处高不伤，虽危不亡。握珠怀玉，还归其乡。,6
355,讼之晋,右手弃酒，左手牧牂。行逢礼御，饵得玉杯。,6
356,讼之明夷,养虎牧狼，还自贼伤。大勇小捷，虽危不亡。,6
357,讼之家人,戴尧扶禹，松乔彭祖。西遇王母，道路夷易，无敢难者。,6
358,讼之睽,秋冬探巢，不得鹊雏。衔指北去，愧我少姬。,6
359,讼之蹇,两羝三牂，俱为代乡。留连多难，损其食粮。,6
360,讼之解,南徙无庐，鸟破其巢。伐木思初，不利动摇。,6
361,讼之损,争讼不已，更相击剑。张季弱口，被发北走。,6
362,讼之益,延颈望酒，不入我口。初喜后否，得利无有。,6
363,讼之夬,被发倾走，寇逐我后。亡失刀兵，身全不伤。,6
364,讼之姤,麒凤所游，安乐无忧。君子抚民，世代千秋。,6
365,讼之萃,褰衣涉河，水深渍疲。赖幸舟子，济脱无他。,6
366,讼之升,愦愦不悦，忧从中来。丧我金罂，无妄失位。,6
367,讼之困,绊跳不远，心与言反。尼父望家，萏菡未华。,6
368,讼之井,大壮肥牸，惠我诸舅。内外和睦，不忧饥渴。,6
369,讼之革,黄帝建元，文德在身。禄若阳春，封为鲁君。,6
370,讼之鼎,虎聚摩牙，以待臀猪。往必伤亡，宜利止居。,6
371,讼之震,天地配享，六位光明。阴阳顺序，以成和平。,6
372,讼之艮,猿堕高木，不踒手足。保我金玉，还归其室。,6
373,讼之渐,营室紫宫，坚不可攻。明神建德，君受大福。,6
374,讼之归妹,孤翁寡妇，独宿悲苦。目张耳鸣，无与笑语。,6
375,讼之丰,低头窥视，有所畏避。行者不利，酒酸鱼败，众莫贪嗜。,6
376,讼之旅,载金贩狗，利弃我走。藏匿渊底，悔折为咎。,6
377,讼之巽,行触大忌，与司命牾，执囚束缚，拘制于吏。,6
378,讼之兑,执玉欢喜，配之解挛。危详及安，使我无患。,6
379,讼之涣,机杼纷扰，女功不成。长妹许嫁，衣无襦绔。闻祸不成，凶恶消去。,6
380,讼之节,金人铁距，火烧左右。虽俱不恐，独得全处。,6
381,讼之中孚,谢恩拜德，东归吾国。舞蹈欣悦，欢乐受福。,6
382,讼之小过,青牛白咽，呼我俱田，历山之下，可以多耕。岁乐时节，人民安宁。,6
383,讼之既济,白雉群雎，慕德朝贡。湛露之恩，使我得欢。,6
384,讼之未济,避患东西，反入祸门。糟糠不足，忧愁我心。,6
