id,name,degrees,textbook
1,不,254,禅诗
2,的,246,禅诗
3,一,232,禅诗
4,人,208,禅诗
5,诗,201,禅诗
6,是,192,禅诗
7,无,185,禅诗
8,山,164,禅诗
9,禅,132,禅诗
10,自,121,禅诗
11,有,120,禅诗
12,空,117,禅诗
13,心,115,禅诗
14,花,111,禅诗
15,如,96,禅诗
16,生,95,禅诗
17,在,91,禅诗
18,云,90,禅诗
19,法,89,禅诗
20,中,89,禅诗
21,来,87,禅诗
22,处,86,禅诗
23,之,84,禅诗
24,水,82,禅诗
25,时,77,禅诗
26,了,74,禅诗
27,此,72,禅诗
28,清,71,禅诗
29,也,69,禅诗
30,然,69,禅诗
31,而,69,禅诗
32,月,68,禅诗
33,上,66,禅诗
34,佛,66,禅诗
35,明,65,禅诗
36,为,64,禅诗
37,世,64,禅诗
38,风,61,禅诗
39,出,60,禅诗
40,天,59,禅诗
41,师,57,禅诗
42,得,57,禅诗
43,深,57,禅诗
44,大,55,禅诗
45,寂,55,禅诗
46,悟,52,禅诗
47,地,52,禅诗
48,以,51,禅诗
49,看,51,禅诗
50,日,51,禅诗
51,春,50,禅诗
52,入,50,禅诗
53,落,50,禅诗
54,相,50,禅诗
55,开,49,禅诗
56,头,47,禅诗
57,知,47,禅诗
58,静,47,禅诗
59,身,46,禅诗
60,说,46,禅诗
61,到,46,禅诗
62,事,46,禅诗
63,何,46,禅诗
64,本,45,禅诗
65,所,45,禅诗
66,僧,44,禅诗
67,闲,44,禅诗
68,见,44,禅诗
69,色,43,禅诗
70,常,43,禅诗
71,道,43,禅诗
72,真,43,禅诗
73,行,42,禅诗
74,能,42,禅诗
75,坐,41,禅诗
76,于,41,禅诗
77,界,41,禅诗
78,白,41,禅诗
79,千,40,禅诗
80,下,40,禅诗
81,境,40,禅诗
82,对,39,禅诗
83,香,39,禅诗
84,流,39,禅诗
85,意,39,禅诗
86,高,39,禅诗
87,与,38,禅诗
88,句,38,禅诗
89,归,38,禅诗
90,寺,37,禅诗
91,我,37,禅诗
92,声,37,禅诗
93,实,37,禅诗
94,着,37,禅诗
95,性,37,禅诗
96,从,36,禅诗
97,年,36,禅诗
98,尽,36,禅诗
99,经,36,禅诗
100,灭,35,禅诗
101,言,35,禅诗
102,只,35,禅诗
103,林,34,禅诗
104,安,34,禅诗
105,可,34,禅诗
106,间,33,禅诗
107,赏,33,禅诗
108,定,33,禅诗
109,因,32,禅诗
110,随,32,禅诗
111,尘,32,禅诗
112,远,32,禅诗
113,释,32,禅诗
114,起,31,禅诗
115,长,31,禅诗
116,动,31,禅诗
117,唐,31,禅诗
118,又,31,禅诗
119,夜,30,禅诗
120,子,29,禅诗
121,觉,29,禅诗
122,析,29,禅诗
123,过,29,禅诗
124,这,29,禅诗
125,观,28,禅诗
126,名,28,禅诗
127,虚,28,禅诗
128,后,28,禅诗
129,作,27,禅诗
130,更,26,禅诗
131,外,26,禅诗
132,步,26,禅诗
133,就,26,禅诗
134,缘,26,禅诗
135,通,26,禅诗
136,乐,26,禅诗
137,前,26,禅诗
138,物,26,禅诗
139,去,26,禅诗
140,雨,26,禅诗
141,已,26,禅诗
142,门,25,禅诗
143,己,25,禅诗
144,将,25,禅诗
145,居,25,禅诗
146,树,25,禅诗
147,注,25,禅诗
148,写,25,禅诗
149,净,25,禅诗
150,但,25,禅诗
151,青,25,禅诗
152,依,25,禅诗
153,用,25,禅诗
154,王,25,禅诗
155,独,24,禅诗
156,万,24,禅诗
157,个,24,禅诗
158,方,24,禅诗
159,指,23,禅诗
160,东,23,禅诗
161,同,23,禅诗
162,南,23,禅诗
163,和,23,禅诗
164,理,23,禅诗
165,西,23,禅诗
166,景,22,禅诗
167,至,22,禅诗
168,三,22,禅诗
169,义,22,禅诗
170,体,22,禅诗
171,寒,22,禅诗
172,好,22,禅诗
173,终,22,禅诗
174,松,22,禅诗
175,思,22,禅诗
176,二,22,禅诗
177,诸,22,禅诗
178,全,22,禅诗
179,犹,21,禅诗
180,满,21,禅诗
181,隐,21,禅诗
182,峰,20,禅诗
183,却,20,禅诗
184,者,20,禅诗
185,妙,20,禅诗
186,四,20,禅诗
187,非,20,禅诗
188,石,20,禅诗
189,家,20,禅诗
190,眼,20,禅诗
191,问,20,禅诗
192,最,20,禅诗
193,表,20,禅诗
