id,name,degrees
禅诗总字数为：16072；不重复字数为：1826
1,不,254
2,的,246
3,一,232
4,人,208
5,诗,201
6,是,192
7,无,185
8,山,164
9,禅,132
10,自,121
11,有,120
12,空,117
13,心,115
14,花,111
15,如,96
16,生,95
17,在,91
18,云,90
19,中,89
20,法,89
21,来,87
22,处,86
23,之,84
24,水,82
25,时,77
26,了,74
27,此,72
28,清,71
29,然,69
30,而,69
31,也,69
32,月,68
33,上,66
34,佛,66
35,明,65
36,世,64
37,为,64
38,风,61
39,出,60
40,天,59
41,得,57
42,师,57
43,深,57
44,寂,55
45,大,55
46,悟,52
47,地,52
48,看,51
49,日,51
50,以,51
51,入,50
52,相,50
53,落,50
54,春,50
55,开,49
56,静,47
57,知,47
58,头,47
59,何,46
60,说,46
61,事,46
62,身,46
63,到,46
64,本,45
65,所,45
66,见,44
67,闲,44
68,僧,44
69,色,43
70,常,43
71,道,43
72,真,43
73,能,42
74,行,42
75,于,41
76,白,41
77,界,41
78,坐,41
79,下,40
80,境,40
81,千,40
82,意,39
83,香,39
84,对,39
85,流,39
86,高,39
87,归,38
88,与,38
89,句,38
90,性,37
91,声,37
92,我,37
93,寺,37
94,实,37
95,着,37
96,年,36
97,尽,36
98,从,36
99,经,36
100,只,35
101,言,35
102,灭,35
103,林,34
104,可,34
105,安,34
106,间,33
107,赏,33
108,定,33
109,尘,32
110,释,32
111,随,32
112,因,32
113,远,32
114,动,31
115,又,31
116,唐,31
117,长,31
118,起,31
119,夜,30
120,过,29
121,觉,29
122,析,29
123,这,29
124,子,29
125,观,28
126,名,28
127,后,28
128,虚,28
129,作,27
130,物,26
131,通,26
132,去,26
133,缘,26
134,雨,26
135,步,26
136,前,26
137,乐,26
138,更,26
139,已,26
140,就,26
141,外,26
142,将,25
143,注,25
144,但,25
145,用,25
146,树,25
147,净,25
148,门,25
149,居,25
150,依,25
151,己,25
152,青,25
153,王,25
154,写,25
155,方,24
156,独,24
157,个,24
158,万,24
159,和,23
160,东,23
161,指,23
162,南,23
163,理,23
164,同,23
165,西,23
166,寒,22
167,好,22
168,二,22
169,三,22
170,终,22
171,景,22
172,义,22
173,诸,22
174,至,22
175,全,22
176,体,22
177,松,22
178,思,22
179,满,21
180,犹,21
181,隐,21
182,石,20
183,却,20
184,非,20
185,问,20
186,眼,20
187,妙,20
188,最,20
189,峰,20
190,家,20
191,者,20
192,四,20
193,表,20
194,华,20
195,即,20
196,里,19
197,古,19
198,任,19
199,向,19
200,回,19
201,老,19
202,光,19
203,首,19
204,公,19
205,切,19
206,今,19
207,百,18
208,十,18
209,幽,18
210,皆,18
211,执,18
212,成,18
213,联,18
214,梅,18
215,便,18
216,听,18
217,溪,18
218,绝,18
219,钟,18
220,住,18
221,还,18
222,进,18
223,笑,17
224,别,17
225,路,17
226,小,17
227,鸟,17
228,牛,17
229,君,17
230,他,17
231,解,17
232,两,17
233,种,17
234,维,17
235,劫,16
236,秋,16
237,会,16
238,众,16
239,竹,16
240,皈,16
241,雪,16
242,吹,16
243,正,16
244,龙,16
245,发,16
246,谓,16
247,达,16
248,点,16
249,使,16
250,都,16
251,未,15
252,波,15
253,离,15
254,枝,15
255,平,15
256,草,15
257,合,15
258,情,15
259,晚,15
260,亦,15
261,教,15
262,红,15
263,没,15
264,叶,15
265,染,15
266,木,14
267,要,14
268,黄,14
269,转,14
270,当,14
271,菩,14
272,闻,14
273,源,14
274,衣,14
275,样,14
276,比,14
277,照,14
278,度,14
279,似,14
280,其,14
281,江,14
282,神,14
283,穷,14
284,飞,14
285,必,14
286,分,14
287,悠,13
288,莫,13
289,童,13
290,气,13
291,述,13
292,台,13
293,若,13
294,语,13
295,修,13
296,新,13
297,活,13
298,关,13
299,城,13
300,题,13
301,念,13
302,迷,13
303,寻,13
304,几,13
305,逢,13
306,院,13
307,描,13
308,金,13
309,凉,12
310,慧,12
311,口,12
312,读,12
313,初,12
314,泉,12
315,故,12
316,半,12
317,太,12
318,沉,12
319,鸣,12
320,烟,12
321,李,12
322,散,12
323,精,12
324,灵,12
325,片,12
326,字,12
327,殊,12
328,喻,12
329,冷,11
330,珠,11
331,影,11
332,才,11
333,浮,11
334,房,11
335,手,11
336,桃,11
337,幻,11
338,融,11
339,海,11
340,欲,11
341,游,11
342,莲,11
343,放,11
344,立,11
345,信,11
346,沙,11
347,并,11
348,再,11
349,原,11
350,琴,11
351,偈,11
352,往,11
353,足,11
354,应,11
355,死,11
356,象,11
357,六,11
358,破,10
359,文,10
360,赞,10
361,柳,10
362,曾,10
363,称,10
364,面,10
365,顿,10
366,聚,10
367,音,10
368,重,10
369,澄,10
370,由,10
371,镜,10
372,萧,10
373,喜,10
374,淡,10
375,形,10
376,智,10
377,洞,10
378,露,10
379,塔,10
380,边,10
381,现,10
382,浩,10
383,亭,10
384,野,10
385,忘,10
386,湖,10
387,湛,10
388,北,10
389,阳,10
390,示,10
391,直,9
392,火,9
393,尊,9
394,暮,9
395,庭,9
396,歌,9
397,默,9
398,梦,9
399,苦,9
400,般,9
401,灯,9
402,极,9
403,晖,9
404,五,9
405,断,9
406,客,9
407,做,9
408,微,9
409,难,9
410,化,9
411,端,9
412,疑,9
413,梵,9
414,碍,9
415,翠,9
416,多,9
417,孤,9
418,带,9
419,领,9
420,透,9
421,宁,9
422,热,9
423,碧,9
424,吾,8
425,买,8
426,圆,8
427,挂,8
428,踏,8
429,取,8
430,积,8
431,昏,8
432,运,8
433,既,8
434,河,8
435,含,8
436,曼,8
437,潭,8
438,佳,8
439,映,8
440,则,8
