id,name,degrees
周易总字数为：18555；不重复字数为：1068
1,也,681
2,曰,530
3,象,446
4,六,411
5,无,407
6,九,403
7,不,381
8,吉,375
9,有,349
10,其,346
11,之,337
12,以,282
13,利,250
14,贞,247
15,咎,239
16,上,230
17,大,205
18,而,204
19,于,196
20,人,184
21,三,182
22,子,169
23,用,151
24,初,146
25,二,145
26,君,144
27,中,144
28,四,143
29,行,142
30,凶,141
31,五,137
32,天,129
33,往,128
34,得,110
35,亨,107
36,终,99
37,孚,99
38,小,89
39,下,82
40,悔,79
41,刚,77
42,在,76
43,如,75
44,可,72
45,来,72
46,正,69
47,道,68
48,厉,66
49,志,66
50,位,65
51,彖,64
52,见,64
53,攸,63
54,元,63
55,未,61
56,明,61
57,勿,60
58,王,60
59,地,60
60,亡,56
61,日,56
62,乎,54
63,时,52
64,复,49
65,则,48
66,自,48
67,德,47
68,柔,47
69,吝,47
70,征,46
71,乃,46
72,或,45
73,顺,44
74,事,43
75,出,42
76,言,41
77,观,40
78,失,40
79,当,38
80,履,38
81,遇,36
82,说,35
83,食,35
84,命,35
85,龙,33
86,过,33
87,我,33
88,所,33
89,从,32
90,何,32
91,矣,32
92,家,32
93,震,31
94,与,31
95,光,30
96,井,30
97,师,30
98,夫,30
99,为,30
100,恒,29
101,弗,29
102,匪,29
103,义,29
104,能,29
105,巽,29
106,至,29
107,益,29
108,后,28
109,同,28
110,归,28
111,应,28
112,涉,27
113,动,27
114,丧,27
115,女,27
116,节,27
117,乾,27
118,入,27
119,物,27
120,咸,26
121,是,26
122,谦,26
123,革,26
124,蹇,26
125,居,25
126,川,25
127,心,25
128,克,25
129,方,24
130,先,24
131,乘,24
132,蒙,24
133,黄,24
134,困,23
135,妇,23
136,坎,23
137,穷,23
138,壮,23
139,邑,23
140,尚,23
141,马,23
142,险,23
143,颐,22
144,艮,22
145,外,22
146,旅,22
147,剥,22
148,民,22
149,疾,22
150,比,22
151,朋,22
152,长,22
153,山,22
154,交,22
155,否,22
156,者,22
157,涣,21
158,成,21
159,舆,21
160,进,21
161,若,21
162,雨,21
163,遁,21
164,牛,21
165,获,20
166,夷,20
167,系,20
168,蛊,20
169,寇,20
170,永,20
171,故,20
172,临,20
173,损,20
174,雷,20
175,干,20
176,鼎,19
177,生,19
178,豫,19
179,万,19
180,哉,19
181,灾,19
182,文,19
183,公,18
184,随,18
185,升,18
186,内,18
187,噬,18
188,田,18
189,妹,18
190,相,18
191,需,18
192,国,18
193,兑,17
194,知,17
195,变,17
196,反,17
197,童,17
198,贲,17
199,包,17
200,濡,17
201,功,17
202,讼,17
203,求,17
204,离,17
205,既,17
206,首,16
207,木,16
208,父,16
209,趾,16
210,夬,16
211,实,16
212,承,16
213,泽,16
214,血,16
215,止,16
216,尾,16
217,水,16
218,盈,16
219,疑,16
220,渐,16
221,虽,15
222,妄,15
223,号,15
224,西,15
225,誉,15
226,信,15
227,福,15
228,丰,15
229,邻,15
230,飞,15
231,退,14
232,解,14
233,一,14
234,畜,14
235,主,14
236,且,14
237,艰,14
238,庆,14
239,火,14
240,床,14
241,喜,14
242,易,14
243,亦,14
244,恤,14
245,次,14
246,金,13
247,足,13
248,富,13
249,月,13
250,臣,13
251,肤,13
252,久,13
253,灭,13
254,宜,13
255,年,13
256,受,13
257,告,13
258,舍,13
259,合,12
260,虎,12
261,莫,12
262,致,12
263,逐,12
264,安,12
265,济,12
266,岁,12
267,风,12
268,鸿,12
269,健,12
270,十,12
271,禽,12
272,侯,12
273,晋,12
274,酒,12
275,庭,12
276,习,12
277,眚,12
278,帝,11
279,谓,11
280,载,11
281,笑,11
282,乱,11
283,化,11
284,睽,11
285,门,11
286,幽,11
287,始,11
288,媾,11
289,南,11
290,嘉,11
291,戒,11
292,和,11
293,圣,11
294,萃,11
295,鸣,11
296,鱼,11
297,视,11
298,婚,11
299,羊,11
300,伐,11
301,哑,10
302,辅,10
303,鸟,10
304,鬼,10
305,发,10
306,惕,10
307,害,10
308,妻,10
309,章,10
310,车,10
311,资,10
312,耳,10
313,敬,10
314,独,10
315,郊,10
316,高,10
317,躬,10
318,施,10
319,云,10
320,戎,10
321,虩,10
322,丽,9
323,泥,9
324,宗,9
325,维,9
326,几,9
327,违,9
328,折,9
329,左,9
330,嗟,9
331,取,9
332,改,9
333,徐,9
334,虚,9
335,敦,9
336,假,9
337,含,9
338,作,9
339,已,9
340,身,9
341,遂,9
342,养,9
343,羸,9
344,茅,9
345,前,8
346,由,8
347,息,8
348,曳,8
349,娣,8
350,颠,8
351,类,8
352,及,8
353,栋,8
354,执,8
355,屯,8
356,潜,8
357,即,8
358,胜,8
359,通,8
360,常,8
361,众,8
362,渝,8
363,远,8
364,射,8
365,白,8
366,饮,8
367,陵,8
368,直,8
369,平,8
370,焚,8
371,贤,8
372,户,8
373,御,8
374,群,8
375,难,8
376,拯,7
377,锡,7
378,忧,7
379,思,7
380,须,7
381,藩,7
382,蔀,7
383,虞,7
384,姤,7
385,立,7
386,介,7
387,必,7
388,建,7
389,善,7
390,牵,7
391,於,7
392,死,7
393,武,7
394,考,7
395,丘,7
396,七,7
397,东,7
398,处,7
399,邦,7
400,阴,7
401,谷,7
402,亢,7
403,修,7
404,享,7
405,拔,7
406,角,7
407,阳,6
408,刑,6
409,愿,6
410,渊,6
411,登,6
412,感,6
413,琐,6
414,缶,6
415,陆,6
416,庙,6
417,宫,6
418,穴,6
419,挛,6
420,老,6
421,闲,6
422,辨,6
423,祭,6
424,神,6
425,望,6
426,禴,6
427,决,6
428,冥,6
429,百,6
430,威,6
431,频,6
432,丈,6
433,甘,6
434,憧,6
435,尔,6
436,豕,6
437,慎,6
438,消,6
439,好,6
440,矢,6
441,校,6
442,班,6
443,尤,6
444,狱,6
445,苏,6
446,嗃,6
447,簋,6
448,拂,6
449,母,6
450,索,6
451,拇,6
452,宁,6
453,宾,6
454,品,6
455,育,6
456,恶,6
457,嘻,6
458,跛,6
459,愬,6
460,斧,6
461,引,6
462,旧,6
463,疆,6
464,丑,6
465,休,6
466,裕,6
467,窥,6
468,龟,6
469,桡,6
470,坤,6
471,臀,6
472,贵,6
473,翩,6
474,厥,6
475,惠,6
476,允,6
