id,name,degrees
1,段誉,3245
2,萧峰,1724
3,虚竹,1584
4,阿紫,1108
5,乔峰,1086
6,阿朱,961
7,慕容复,861
8,王语嫣,814
9,段正淳,706
10,木婉清,688
11,鸠摩智,528
12,游坦之,508
13,南海鳄神,441
14,钟灵,426
15,丁春秋,414
16,包不同,389
17,阿碧,296
18,乌老大,286
19,马夫人,284
20,段延庆,278
21,玄难,254
22,玄慈,235
23,王夫人,225
24,云中鹤,219
25,钟万仇,201
26,巴天石,200
27,风波恶,199
28,叶二娘,190
29,李秋水,178
30,耶律洪基,177
31,朱丹臣,177
32,苏星河,169
33,邓百川,164
34,赵钱孙,164
35,全冠清,148
36,徐长老,135
37,秦红棉,124
38,慕容博,120
39,左子穆,118
40,白世镜,118
41,公冶乾,115
42,司空玄,112
43,阮星竹,108
44,谭婆,107
45,谭公,106
46,崔百泉,103
47,刀白凤,98
48,司马林,94
49,玄寂,93
50,薛慕华,89
51,波罗星,89
52,萧远山,88
53,本因,87
54,范骅,86
55,诸保昆,83
56,玄苦,81
57,摘星子,80
58,褚万里,80
59,单正,70
60,枯荣大师,69
61,陈长老,68
62,康广陵,68
63,过彦之,66
64,姚伯当,66
65,吴长老,65
66,神仙姊姊,65
67,止清,63
68,华赫艮,56
69,赵煦,54
70,桑土公,53
71,室里,53
72,宋长老,52
73,哲罗星,50
74,郁光标,50
75,甘宝宝,50
76,玄生,47
77,玄渡,47
78,梅剑,47
79,玄痛,46
80,天山童姥,46
81,玄悲,45
82,段正明,45
83,干光豪,43
84,龚光杰,43
85,菊剑,37
86,瑞婆婆,36
87,兰剑,36
88,智光大师,35
89,出尘子,34
90,缘根,33
91,慧净,32
92,余婆,32
93,鲍千灵,31
94,平婆婆,30
95,赫连铁树,29
96,范百龄,28
97,严妈妈,28
98,本参,27
99,傅思归,27
100,本相,27
101,古笃诚,26
102,神山上人,26
103,奚长老,26
104,游骥,25
105,本观,24
106,哈大霸,22
107,慧真,22
108,小茗,22
109,司马卫,22
110,易大彪,21
111,慧方,21
112,游驹,21
113,李傀儡,20
114,向望海,19
115,老顾,19
116,九翼道人,18
117,宗赞王子,18
118,梦姑,18
119,冯阿三,17
120,止湛,17
121,竹剑,17
122,辛双清,17
123,努儿海,16
124,幽草,16
125,慧观,14
126,石嫂,13
127,慧轮,13
128,马五德,13
129,苏辙,13
130,朴者,12
131,祁六,11
132,乔三槐夫妇,11
133,玄惭,11
134,符敏仪,11
135,谭青,10
136,道清大师,10
137,玄鸣,9
138,破嗔,9
139,玄净,9
140,柯百岁,9
141,不平道长,8
142,止渊,8
143,玄石,8
144,单伯山,8
145,张全祥,8
146,唐光雄,8
147,完颜阿骨打,7
148,苟读,7
149,汪剑通,7
150,观心大师,7
151,耶律莫哥,7
152,玄灭,7
153,阿萝,7
154,和哩布,7
155,天狼子,7
156,葛光佩,6
157,单小山,6
158,颇拉苏,6
159,单季山,6
160,容子矩,6
161,黎夫人,6
162,刘竹庄,6
163,小茶,6
164,小翠,6
165,李春来,5
166,阿胜,5
167,云岛主,5
168,方大雄,5
169,阿洪,5
170,单仲山,5
171,吴领军,5
172,石清露,4
173,区岛主,4
174,黄眉大师,4
175,老汪,4
176,耶律重元,4
177,玄澄,4
178,许卓诚,4
179,钦岛主,4
180,青松,4
181,范祖禹,4
182,范纯仁,3
183,诸师弟,3
184,包不靓,3
185,孙三霸,3
186,秦伯起,3
187,融智大师,3
188,诸葛中,3
189,珠崖双怪,2
190,霍洞主,2
191,七指头陀,2
192,玄愧,2
193,五叶大师,2
194,耶律涅鲁古,2
195,觉贤大师,2
196,玄垢,2
197,姜师叔,2
198,单叔山,2
199,灵门禅师,2
200,程青霜,2
201,小毕,2
202,海风子,2
203,章达夫,1
204,元元大师,1
205,鹤云道长,1
206,玄黄子,1
207,秦公望,1
208,孟师叔,1
209,项长老,1
210,司马岛主,1
211,芙蓉仙子崔绿华,1
212,王维义,1
213,于洞主,1
214,玄念,1
215,金二,1
