id,name,degrees
禅诗总字数为：16072；不重复字数为：1826
1,不,254
2,的,246
3,一,232
4,人,208
5,诗,201
6,是,192
7,无,185
8,山,164
9,禅,132
10,自,121
11,有,120
12,空,117
13,心,115
14,花,111
15,如,96
16,生,95
17,在,91
18,云,90
19,中,89
20,法,89
21,来,87
22,处,86
23,之,84
24,水,82
25,时,77
26,了,74
27,此,72
28,清,71
29,然,69
30,也,69
31,而,69
32,月,68
33,上,66
34,佛,66
35,明,65
36,为,64
37,世,64
38,风,61
39,出,60
40,天,59
41,深,57
42,师,57
43,得,57
44,大,55
45,寂,55
46,地,52
47,悟,52
48,看,51
49,以,51
50,日,51
51,相,50
52,入,50
53,春,50
54,落,50
55,开,49
56,知,47
57,头,47
58,静,47
59,何,46
60,说,46
61,事,46
62,到,46
63,身,46
64,本,45
65,所,45
66,僧,44
67,闲,44
68,见,44
69,色,43
70,道,43
71,常,43
72,真,43
73,能,42
74,行,42
75,坐,41
76,于,41
77,白,41
78,界,41
79,千,40
80,境,40
81,下,40
82,高,39
83,意,39
84,流,39
85,对,39
86,香,39
87,归,38
88,句,38
89,与,38
90,寺,37
91,着,37
92,我,37
93,声,37
94,性,37
95,实,37
96,经,36
97,年,36
98,尽,36
99,从,36
100,灭,35
101,只,35
102,言,35
103,林,34
104,安,34
105,可,34
106,定,33
107,间,33
108,赏,33
109,随,32
110,因,32
111,释,32
112,尘,32
113,远,32
114,动,31
115,长,31
116,又,31
117,唐,31
118,起,31
119,夜,30
120,觉,29
121,子,29
122,这,29
123,析,29
124,过,29
125,名,28
126,观,28
127,后,28
128,虚,28
129,作,27
130,前,26
131,乐,26
132,雨,26
133,去,26
134,就,26
135,已,26
136,缘,26
137,物,26
138,外,26
139,步,26
140,更,26
141,通,26
142,用,25
143,写,25
144,注,25
145,依,25
146,己,25
147,门,25
148,将,25
149,居,25
150,但,25
151,净,25
152,王,25
153,青,25
154,树,25
155,方,24
156,个,24
157,万,24
158,独,24
159,同,23
160,理,23
161,指,23
162,东,23
163,南,23
164,西,23
165,和,23
166,全,22
167,二,22
168,终,22
169,至,22
170,三,22
171,义,22
172,思,22
173,松,22
174,诸,22
175,体,22
176,景,22
177,好,22
178,寒,22
179,满,21
180,犹,21
181,隐,21
182,眼,20
183,即,20
184,却,20
185,峰,20
186,石,20
187,妙,20
188,者,20
189,四,20
190,华,20
191,表,20
192,非,20
193,最,20
194,问,20
195,家,20
196,今,19
197,里,19
198,向,19
199,首,19
200,古,19
201,回,19
202,公,19
203,任,19
204,老,19
205,切,19
206,光,19
207,成,18
208,皆,18
209,还,18
210,钟,18
211,住,18
212,听,18
213,联,18
214,绝,18
215,便,18
216,进,18
217,溪,18
218,幽,18
219,十,18
220,梅,18
221,百,18
222,执,18
223,两,17
224,维,17
225,小,17
226,路,17
227,君,17
228,牛,17
229,他,17
230,鸟,17
231,别,17
232,种,17
233,解,17
234,笑,17
235,正,16
236,龙,16
237,劫,16
238,皈,16
239,达,16
240,点,16
241,吹,16
242,雪,16
243,众,16
244,竹,16
245,会,16
246,秋,16
247,发,16
248,谓,16
249,都,16
250,使,16
251,平,15
252,合,15
253,情,15
254,染,15
255,波,15
256,红,15
257,没,15
258,亦,15
259,晚,15
260,未,15
261,离,15
262,枝,15
263,草,15
264,叶,15
265,教,15
266,衣,14
267,比,14
268,神,14
269,似,14
270,穷,14
271,分,14
272,闻,14
273,转,14
274,样,14
275,木,14
276,黄,14
277,江,14
278,度,14
279,菩,14
280,要,14
281,源,14
282,必,14
283,飞,14
284,当,14
285,其,14
286,照,14
287,气,13
288,题,13
289,关,13
290,院,13
291,语,13
292,童,13
293,寻,13
294,金,13
295,活,13
296,台,13
297,迷,13
298,述,13
299,几,13
300,念,13
301,描,13
302,新,13
303,逢,13
304,城,13
305,悠,13
306,修,13
307,若,13
308,莫,13
309,泉,12
310,鸣,12
311,烟,12
312,灵,12
313,半,12
314,片,12
315,喻,12
316,精,12
317,太,12
318,凉,12
319,初,12
320,读,12
321,字,12
322,沉,12
323,慧,12
324,口,12
325,散,12
326,故,12
327,殊,12
328,李,12
329,信,11
330,死,11
331,幻,11
332,琴,11
333,偈,11
334,应,11
335,才,11
336,足,11
337,影,11
338,六,11
339,并,11
340,原,11
341,浮,11
342,冷,11
343,融,11
344,珠,11
345,再,11
346,立,11
347,桃,11
348,莲,11
349,往,11
350,海,11
351,欲,11
352,房,11
353,手,11
354,游,11
355,放,11
356,象,11
357,沙,11
358,示,10
359,淡,10
360,湛,10
361,由,10
362,亭,10
363,音,10
364,忘,10
365,野,10
366,聚,10
367,塔,10
368,露,10
369,形,10
370,澄,10
371,镜,10
372,边,10
373,文,10
374,现,10
375,北,10
376,曾,10
377,喜,10
378,赞,10
379,浩,10
380,湖,10
381,破,10
382,洞,10
383,面,10
384,重,10
385,萧,10
386,阳,10
387,顿,10
388,智,10
389,称,10
390,柳,10
391,默,9
392,火,9
393,宁,9
394,碍,9
395,梦,9
396,热,9
397,暮,9
398,化,9
399,极,9
400,端,9
401,断,9
402,微,9
403,多,9
404,碧,9
405,客,9
406,歌,9
407,翠,9
408,般,9
409,尊,9
410,梵,9
411,苦,9
412,领,9
413,庭,9
414,孤,9
415,灯,9
416,五,9
417,透,9
418,疑,9
419,带,9
420,做,9
421,难,9
422,晖,9
423,直,9
424,买,8
425,力,8
426,提,8
427,传,8
428,宗,8
429,曼,8
430,容,8
431,吾,8
432,充,8
433,魄,8
434,感,8
435,待,8
436,求,8
437,兴,8
438,涧,8
439,顾,8
440,踏,8
