id,name,degrees
1,令狐冲,5922
2,岳不群,1184
3,林平之,929
4,岳灵珊,919
5,仪琳,729
6,田伯光,722
7,任我行,525
8,向问天,516
9,左冷禅,482
10,方证,414
11,余沧海,379
12,东方不败,319
13,定逸,271
14,刘正风,266
15,黑白子,250
16,林震南,247
17,劳德诺,229
18,仪和,208
19,陆大有,207
20,祖千秋,193
21,莫大,186
22,木高峰,182
23,老头子,182
24,丹青生,176
25,定静师太,171
26,桃根仙,160
27,桃枝仙,156
28,黄钟公,145
29,桃花仙,143
30,桃实仙,131
31,桃干仙,127
32,曲非烟,125
33,仪清,120
34,风清扬,118
35,方生,112
36,上官云,109
37,平一指,105
38,杨莲亭,104
39,蓝凤凰,103
40,秃笔翁,100
41,计无施,97
42,费彬,97
43,游迅,94
44,绿竹翁,84
45,天门道人,83
46,郑萼,79
47,桃叶仙,74
48,不戒和尚,73
49,钟镇,72
50,鲍大楚,71
51,玉玑子,70
52,曲洋,67
53,王元霸,63
54,封不平,62
55,童百熊,58
56,王夫人,58
57,冲虚道长,57
58,方人智,56
59,贾布,54
60,罗人杰,49
61,张夫人,49
62,成不忧,43
63,玉音子,42
64,仇松年,40
65,丁勉,39
66,乐厚,39
67,于嫂,38
68,丁坚,38
69,黄伯流,38
70,于人豪,37
71,郑镖头,30
72,史镖头,30
73,丛不弃,29
74,玉磬子,28
75,哑婆婆,27
76,易师爷,27
77,玉灵道人,27
78,施戴子,26
79,梁发,26
80,严三星,25
81,何三七,25
82,洪人雄,25
83,史登达,24
84,高克新,24
85,辛国梁,24
86,狄修,24
87,林远图,23
88,王家骏,23
89,陈七,23
90,王家驹,22
91,王仲强,22
92,葛长老,21
93,白二,21
94,贾人达,21
95,司马大,20
96,王伯奋,19
97,易国梓,19
98,施令威,19
99,向大年,18
100,桑三娘,18
101,长青子,17
102,白熊,14
103,邓八公,13
104,侯人英,13
105,西宝,13
106,申人俊,13
107,刘芹,13
108,鲁连荣,13
109,觉月,12
110,米为义,12
111,黑熊,12
112,闻先生,11
113,农妇,11
114,杜长老,10
115,崔镖头,10
116,英颚,10
117,解风,10
118,老不死,9
119,吴天德,8
120,天松道人,8
121,天乙道人,8
122,黄国柏,7
123,玉钟子,7
124,余人彦,7
125,谭迪人,7
126,季镖头,7
127,王二叔,6
128,王诚,6
129,麻衣汉子,5
130,卜沉,5
131,英白罗,4
132,平夫人,4
133,陈歪嘴,4
134,沙天江,4
135,吉人通,4
136,舒奇,4
137,建除,4
138,吴柏英,4
139,周孤桐,3
140,狄镖头,3
141,震山子,3
142,宁中则,3
143,任盈盈,3
144,陶钧,3
145,祝镖头,2
146,夏老拳师,2
147,万大平,2
148,刘菁,2
149,易堂主,1
150,成高道人,1
151,假东方不败,1
152,齐堂主,1
153,陆伯,1
154,高明根,1
