id,name,degrees
红楼梦总字数为：713714；不重复字数为：4180
1,了,20975
2,的,15571
3,不,14410
4,一,11604
5,来,11150
6,道,11050
7,人,10277
8,是,9874
9,说,9535
10,我,8930
11,这,7599
12,他,7387
13,儿,6965
14,你,6950
15,着,6564
16,也,6008
17,去,5965
18,玉,5959
19,宝,5778
20,有,5771
21,个,5544
22,子,5367
23,里,5317
24,贾,5155
25,又,5055
26,那,4918
27,们,4843
28,见,4777
29,只,4559
30,太,4317
31,么,4071
32,好,4022
33,在,3904
34,笑,3877
35,家,3831
36,上,3764
37,便,3652
38,姐,3552
39,头,3486
40,就,3411
41,大,3365
42,得,3286
43,老,3228
44,听,3217
45,出,3135
46,回,3047
47,要,3006
48,知,2862
49,日,2828
50,下,2710
51,都,2653
52,心,2593
53,还,2520
54,事,2518
55,过,2515
56,起,2482
57,话,2444
58,叫,2433
59,二,2385
60,看,2354
61,自,2354
62,没,2311
63,到,2286
64,两,2173
65,如,2143
66,呢,2140
67,些,2127
68,母,2111
69,时,2093
70,今,2003
71,小,1982
72,问,1966
73,凤,1963
74,娘,1910
75,什,1900
76,因,1861
77,等,1825
78,才,1819
79,爷,1811
80,想,1796
81,忙,1758
82,可,1755
83,夫,1754
84,面,1739
85,之,1697
86,奶,1677
87,王,1640
88,和,1610
89,中,1592
90,打,1586
91,罢,1584
92,进,1527
93,倒,1480
94,姑,1418
95,几,1401
96,正,1372
97,黛,1369
98,天,1368
99,此,1359
100,吃,1346
101,给,1341
102,后,1339
103,样,1313
104,别,1271
105,无,1268
106,前,1241
107,为,1233
108,门,1226
109,走,1225
110,再,1222
111,然,1220
112,丫,1219
113,意,1211
114,怎,1211
115,袭,1195
116,妹,1187
117,外,1184
118,三,1176
119,众,1170
120,把,1149
121,气,1127
122,明,1125
123,身,1113
124,钗,1101
125,将,1097
126,多,1093
127,拿,1092
128,已,1091
129,以,1086
130,方,1071
131,坐,1064
132,生,1055
133,何,1036
134,用,1025
135,请,1020
136,做,1014
137,妈,1009
138,年,1009
139,手,1008
140,亲,1005
141,十,1004
142,春,996
143,发,979
144,政,977
145,薛,953
146,且,948
147,命,936
148,姨,931
149,花,929
150,平,907
151,瞧,900
152,边,900
153,住,897
154,所,896
155,己,891
156,先,887
157,原,886
158,琏,882
159,房,882
160,女,881
161,谁,874
162,处,873
163,管,869
164,会,849
165,送,839
166,死,824
167,东,815
168,告,812
169,连,806
170,西,802
171,早,798
172,往,784
173,怕,780
174,应,779
175,内,779
176,带,778
177,香,770
178,月,768
179,分,767
180,至,756
181,若,751
182,必,746
183,却,742
184,口,739
185,声,738
186,四,738
187,点,737
188,从,736
189,放,733
190,虽,729
191,当,719
192,能,705
193,安,704
194,眼,703
195,云,701
196,敢,700
197,哥,698
198,未,681
199,红,675
200,喜,674
201,理,668
202,李,665
203,作,661
204,地,661
205,开,660
206,难,656
207,金,654
208,真,647
209,跟,646
210,病,646
211,书,643
212,情,637
213,与,635
214,句,627
215,官,626
216,咱,621
217,字,620
218,诉,619
219,成,617
220,哭,607
221,半,605
222,屋,604
223,湘,595
224,酒,594
225,更,591
226,银,591
227,并,589
228,白,589
229,婆,588
230,言,586
231,向,586
232,竟,586
233,园,582
234,各,577
235,觉,573
236,府,563
237,五,561
238,紫,557
239,使,544
240,钱,543
241,定,542
242,答,528
243,林,526
244,主,525
245,件,525
246,少,522
247,珍,520
248,经,518
249,名,515
250,快,514
251,闹,514
252,探,510
253,于,507
254,脸,502
255,该,502
256,睡,501
257,行,495
258,比,493
259,氏,484
260,或,483
261,同,482
262,茶,474
263,接,473
264,夜,472
265,而,468
266,找,467
267,饭,464
268,细,461
269,常,461
270,妇,457
271,果,456
272,尤,441
273,风,440
274,鹃,440
275,衣,439
276,底,438
277,间,435
278,干,431
279,鸳,429
280,相,429
281,张,428
282,候,426
283,语,426
284,鸯,422
285,故,422
286,忽,416
287,神,413
288,悄,413
289,本,413
290,急,413
291,动,409
292,喝,407
293,完,405
294,邢,402
295,思,400
296,但,398
297,次,396
298,既,393
299,拉,391
300,算,391
301,解,390
302,长,388
303,色,387
304,玩,386
305,纨,384
306,水,379
307,赶,377
308,孩,377
309,劝,376
310,入,372
311,提,371
312,依,371
313,媳,368
314,收,368
315,院,366
316,晚,366
317,信,365
318,晴,364
319,像,362
320,似,360
321,越,359
322,许,358
323,念,351
324,嘴,350
325,雯,348
326,站,344
327,父,342
328,世,340
329,其,339
330,冷,339
331,对,336
332,素,336
333,留,335
334,弟,334
335,百,334
336,者,333
337,泪,333
338,周,330
339,取,330
340,清,329
341,散,326
342,求,326
343,照,326
344,兴,324
345,诗,323
346,写,323
347,学,322
348,秋,321
349,实,321
350,性,317
351,菱,317
352,弄,313
353,法,312
354,兄,312
355,刚,312
356,第,310
357,蓉,308
358,旧,308
359,刘,308
360,巧,308
361,尚,308
362,及,308
363,偏,307
364,—,307
365,礼,307
366,蟠,305
367,新,304
368,合,304
369,歇,302
370,瑞,301
371,迎,301
372,药,299
373,昨,297
374,替,295
375,惜,294
376,雨,294
377,轻,293
378,孝,293
379,肯,292
380,况,291
381,满,290
382,位,290
383,侍,289
384,物,289
385,尽,288
386,欢,286
387,皆,286
388,雪,285
389,毕,283
390,传,282
391,每,282
392,岂,281
393,闲,281
394,反,281
395,受,281
396,近,280
397,随,279
398,爱,278
399,乱,277
400,让,277
401,办,276
402,苦,274
403,高,273
404,公,273
405,嬷,272
406,领,271
407,穿,271
408,很,270
409,光,266
410,现,265
411,怪,265
412,记,264
413,般,264
414,八,264
415,待,264
416,文,263
417,认,263
418,则,263
419,咐,262
420,被,262
421,仍,261
422,空,260
423,荣,257
424,恐,256
425,伤,255
426,落,255
427,村,253
428,服,253
429,重,252
430,曾,252
431,芳,251
432,陪,250
433,备,247
434,山,247
435,齐,246
436,叔,246
437,静,246
438,妙,246
439,骂,245
440,跑,244
441,疼,244
442,令,244
443,远,243
444,混,242
445,包,242
446,赏,240
447,麝,240
448,环,239
449,厮,237
450,叹,236
451,戏,235
452,芸,233
453,祖,233
454,交,232
455,即,229
456,彩,226
457,养,226
458,遂,226
459,千,225
460,古,224
461,亦,224
462,石,222
463,闻,221
464,景,221
465,舅,221
466,热,221
467,寻,220
468,容,220
469,路,220
470,活,219
471,略,219
472,忘,219
473,料,217
474,直,217
475,流,217
476,桂,216
477,总,216
478,杯,216
479,愿,215
480,赦,215
481,马,214
482,嫂,212
483,秦,212
484,灯,210
485,全,210
486,赖,210
487,指,209
488,非,209
489,刻,209
490,转,208
491,闷,208
492,立,208
493,贵,207
494,仙,206
495,怨,205
496,首,205
497,紧,204
498,士,204
499,烟,204
500,画,204
501,乐,202
502,钟,202
503,欲,201
504,强,201
505,省,200
506,呆,200
507,甚,200
508,鬟,200
509,量,199
510,谢,198
511,论,198
512,恩,197
513,赵,197
514,伏,197
515,车,196
516,琴,195
517,体,195
518,糊,192
519,买,191
520,柳,191
521,万,191
522,派,190
523,罪,190
524,免,189
525,吩,189
526,胡,188
527,失,188
528,孙,188
529,灵,188
530,洗,187
531,奇,187
532,商,185
533,鬼,184
534,席,184
535,悲,184
536,慢,184
537,极,183
538,种,183
539,错,183
540,宁,183
541,惊,182
542,宗,181
543,抱,181
544,脚,180
545,窗,179
546,旁,178
547,息,177
548,渐,177
549,教,176
550,独,175
