id,name,degrees
鹿鼎记总字数为：1024214；不重复字数为：4158
1,不,19252
2,道,18581
3,了,18301
4,一,17964
5,的,17581
6,是,16527
7,小,14576
8,人,11022
9,韦,10829
10,宝,10483
11,大,10470
12,这,10409
13,我,10235
14,你,10192
15,他,9921
16,来,9543
17,说,8182
18,子,7805
19,上,7670
20,得,7334
21,在,6780
22,有,6709
23,那,5963
24,中,5754
25,下,5698
26,去,5493
27,也,5463
28,到,5232
29,之,5071
30,出,4810
31,好,4720
32,个,4646
33,心,4569
34,手,4558
35,么,4548
36,头,4211
37,只,4085
38,们,4032
39,见,4003
40,要,3901
41,老,3846
42,主,3819
43,可,3658
44,…,3648
45,过,3619
46,后,3618
47,皇,3552
48,声,3528
49,又,3477
50,自,3445
51,身,3438
52,公,3338
53,就,3225
54,想,3215
55,将,3158
56,天,3155
57,三,3125
58,然,3121
59,起,3089
60,便,3034
61,笑,2964
62,着,2876
63,事,2874
64,十,2871
65,时,2847
66,都,2833
67,知,2776
68,里,2768
69,两,2764
70,太,2738
71,会,2712
72,多,2568
73,叫,2558
74,听,2509
75,和,2480
76,没,2455
77,当,2447
78,什,2375
79,儿,2342
80,她,2332
81,王,2256
82,打,2244
83,给,2241
84,已,2230
85,为,2216
86,地,2216
87,如,2191
88,向,2127
89,家,2103
90,名,2097
91,吴,2091
92,跟,2081
93,无,2058
94,还,2058
95,住,1945
96,师,1938
97,几,1892
98,兵,1845
99,对,1824
100,却,1796
101,口,1793
102,话,1776
103,明,1775
104,点,1760
105,做,1749
106,二,1744
107,此,1743
108,功,1742
109,前,1730
110,死,1722
111,眼,1712
112,才,1705
113,问,1690
114,教,1678
115,杀,1658
116,康,1645
117,再,1627
118,桂,1615
119,年,1614
120,白,1609
121,气,1601
122,女,1600
123,双,1550
124,门,1523
125,己,1504
126,武,1493
127,生,1477
128,以,1474
129,日,1471
130,回,1468
131,众,1463
132,方,1457
133,走,1456
134,开,1446
135,能,1437
136,些,1427
137,八,1423
138,宫,1423
139,成,1400
140,倒,1398
141,马,1396
142,弟,1380
143,用,1365
144,相,1364
145,甚,1363
146,怎,1353
147,兄,1345
148,真,1344
149,等,1337
150,夫,1335
151,难,1329
152,从,1326
153,国,1316
154,熙,1313
155,位,1312
156,少,1310
157,四,1303
158,意,1299
159,行,1296
160,帝,1284
161,亲,1277
162,但,1251
163,爷,1248
164,哥,1238
165,脸,1234
166,而,1231
167,定,1227
168,进,1220
169,高,1216
170,瞧,1213
171,咱,1208
172,外,1191
173,面,1182
174,官,1158
175,正,1131
176,神,1129
177,分,1118
178,清,1114
179,若,1110
180,书,1109
181,命,1103
182,本,1099
183,怕,1090
184,何,1076
185,很,1073
186,所,1072
187,南,1069
188,动,1065
189,放,1060
190,喜,1055
191,西,1047
192,军,1032
193,先,1018
194,总,1015
195,海,1010
196,衣,994
197,样,994
198,半,989
199,入,989
200,罗,988
201,万,978
202,连,978
203,看,973
204,请,969
205,立,965
206,吃,962
207,间,960
208,快,959
209,汉,950
210,字,950
211,山,940
212,力,938
213,侍,933
214,百,929
215,法,923
216,阿,922
217,父,918
218,反,912
219,色,911
220,敢,910
221,刀,909
222,长,909
223,经,906
224,卫,900
225,洪,887
226,微,883
227,于,881
228,郑,879
229,哈,876
230,轻,871
231,龙,871
232,重,868
233,惊,867
234,把,864
235,原,864
236,发,863
237,干,862
238,陈,856
239,喝,853
240,别,853
