id,jname,jci,yi_id
0961,豫之豫,冰将泮散，鸣雁雍雍。丁男长女，可以会同。生育贤人。,16
0962,豫之乾,龙马上山，绝无水泉。喉焦唇干，口不能言。,16
0963,豫之坤,蔡侯朝楚，留连江滨。逾时历月，思其后君。,16
0964,豫之屯,文厄羑里，汤囚夏台。仁圣不害，数困何忧。免于缧绁，为世明侯。,16
0965,豫之蒙,典册法书，藏阁兰台。虽遭乱溃，独不遇灾。,16
0966,豫之需,毡裘羶国，文礼不＃。跨马空弦，伐我都邑。,16
0967,豫之讼,星陨如雨，力弱无辅。强阴制阳，不得安土。,16
0968,豫之师,蝗啮我稻，驱不可去。实穗无有，但见空藁。,16
0969,豫之比,虎饥欲食，为猬而伏。禹导龙门，避咎除患，元丑以安。,16
0970,豫之小畜,蝙蝠夜藏，不敢昼行。酒是酸浆，鲂死鲍羹。,16
0971,豫之履,精华堕落，形体丑恶。龃龉挫顿，枯槁腐蠹。,16
0972,豫之泰,两足不获，难以远行。疾步不能，后旅失时。,16
0973,豫之否,令妻寿母，宜家无咎。君子之欢，得以长久。,16
0974,豫之同人,饥蚕作室，缗多乱缠，绪不可得。,16
0975,豫之大有,子鉏执麟，春秋作元。阴圣将终，尼父悲心。,16
0976,豫之谦,螟虫为贼，害我稼蔷。禾殚麦尽，秋无所得。,16
0977,豫之随,忧在腹内，山崩为疾。祸起萧墙，竟制其国。,16
0978,豫之蛊,茹芝饵黄，饮食玉瑛。与神流通，长无忧凶。,16
0979,豫之临,一夫两心，技刺不深。所为无功，求事不成。,16
0980,豫之观,十里望烟，散涣四方。形容灭亡，终不见君。,16
0981,豫之噬嗑,张弓控弩，经涉山道。虽有伏虎，谁敢害诸。,16
0982,豫之贲,泉闭泽竭，王母饥渴。君子困穷，乃徐有说。,16
0983,豫之剥,野鸢山雀，弈棋六博。山枭四散，主人胜客。,16
0984,豫之复,羊惊马走，上下挥扰。鼓音不绝，顷公奔败。,16
0985,豫之无妄,黄帝神明，八子圣聪。俱受大福，天下康平。,16
0986,豫之大畜,住车醊酒，疾风暴起。泛乱福器，飞扬位卓，明神降禄，道无害寇。,16
0987,豫之颐,腾蛇乘龙，宋郑饥凶，民食草蓬。,16
0988,豫之大过,扬水潜凿，使石洁白。里素表朱，游戏皋泽。得君所欲。心志娱乐。,16
0989,豫之坎,西过虎庐，惊我前驱。虽忧无危。,16
0990,豫之离,衣成无开，不知所穿。客指东西，未得使安。,16
0991,豫之咸,晨风文翰，随时就温。雄雌相和，不忧危殆。,16
0992,豫之恒,心多悔恨，出言为怪。枭鸣室比，声丑可恶。请谒不得。,16
0993,豫之遁,离女去夫，闵思苦忧。齐子无良，使我心悲。,16
0994,豫之大壮,过时不归，雌雄苦悲。徘徊外国，与叔分离。,16
0995,豫之晋,鹊巢柳树，鸠夺其处。任力德薄，天命不佑。,16
0996,豫之明夷,鹤盗我珠，逃于东都。鹄怒追求，郭氏之墟。不见踪迹，使伯心忧。,16
0997,豫之家人,夫妇相背，和气弗处。阴阳俱否，庄姜无子。,16
0998,豫之睽,月走日步，趣不同舍。夫妻反目，主君失居。,16
0999,豫之蹇,洛阳嫁女，善逐人走。三寡失夫，妇妒无子。,16
1000,豫之解,周德既成，杼轴不倾。太宰东西，夏国康宁。,16
1001,豫之损,日中为市，交易资宝。名利所有，心悦以喜。,16
1002,豫之益,童妾独宿，长女为室，利无所得。,16
1003,豫之夬,忠言辅成，王政不倾。公刘兆基，文武绥之。,16
1004,豫之姤,牛骥同堂，郭氏以亡。国破为墟，主君奔逃。,16
1005,豫之萃,中原有菽，以待雉食。饮御诸友，所求大得。,16
1006,豫之升,多虚少实，语不可知。尊空无酒，飞言如雨。,16
1007,豫之困,青蝇集蕃，君信谗言，害贤伤忠，患生妇人。,16
1008,豫之井,履株履舆，马惊伤车，步为我忧。,16
1009,豫之革,商风召寇，呼我北盗。间谍内应，与我争斗。殚以宝藏。主人不胜。,16
1010,豫之鼎,逸豫好游，不安其家。或有少姬，久迷不来。,16
1011,豫之震,无有骅骝，畜之以时。东家翁孺，来诣我车，价极可与，后无贱忧。,16
1012,豫之艮,厄穷上通，与尧相逢。登升大麓，国无凶人。,16
1013,豫之渐,众兔俱走，熊罴在后。踦不能进，失信寡处。,16
1014,豫之归妹,旁行不远，三思复返。心多畏恶，中日止舍。,16
1015,豫之丰,仓皇奉使，中山以孝。文侯悦喜，击子征召。,16
1016,豫之旅,入天门，守地户，君安乐，不劳苦。,16
1017,豫之巽,等阶上堂，见吾父兄。左酒右浆，与福相迎。,16
1018,豫之兑,秋蛇向穴，不失其节。夫人姜氏，自其复入。,16
1019,豫之涣,忍丑少羞，有面无头。耗减寡虚，日以削消。,16
1020,豫之节,景星照堂，麟游凤翔。仁施大行，颂声以兴。,16
1021,豫之中孚,竿旄旌旗，执帜在郊。虽有宝珠，无路致之。,16
1022,豫之小过,李华再实，鸿卵降集。仁德以兴，萌国受福。,16
1023,豫之既济,白马赤乌，战于东都。天辅有德，败亡为忧。,16
1024,豫之未济,采薪得麟，大命陨颠。豪雄争名，天下四分。,16
