id,jname,jci,yi_id
1,乾之乾,道徙多阪，胡言连蹇。译喑且聋，莫使道通。请遏不行，求事无功。,1
2,乾之坤,招殃来螯，害我邦国。病伤手足，不得安息。,1
3,乾之屯,阳孤亢极，多所恨惑。车倾盖亡，身常忧惶。乃得其愿，雌雄相从。,1
4,乾之蒙,鵊鵴鳲鸠，专一无忧。君子是则，长受嘉福。,1
5,乾之需,目瞤足动，喜如其愿，举家蒙宠。,1
6,乾之讼,龙马上山，绝无水泉，喉焦唇干，舌不能言。,1
7,乾之师,仓盈庾亿，宜稼黍稷。年岁丰熟，民人安息。,1
8,乾之比,中夜犬吠，盗在墙外。神明佑助，消散皆去。,1
9,乾之小畜,据斗运枢，顺天无忧。所行造德，与乐并居。,1
10,乾之履,空拳握手，委地更起。富饶丰衍，快乐无已。,1
11,乾之泰,不风不雨，白日皎皎，宜出驱驰，通理大道。,1
12,乾之否,载日晶光，驂驾六龙。禄命彻天，封为燕王。,1
13,乾之同人,子号索哺，母行求食。反见空巢，訾我长息。,1
14,乾之大有,上帝之生，福佑日成。修德行惠，乐且安宁。,1
15,乾之谦,山险难登，涧中多石。车驰軎击，载重伤轴，担载差踬，踠跌失足。,1
16,乾之豫,禹凿龙门，通利水源。东注沧海，民得安从。,1
17,乾之随,乘龙上天，两蛇为辅，踊跃云中，游观沧海，民乐安处。,1
18,乾之蛊,彭祖九子，据德不殆。南山松柏，长受嘉福。,1
19,乾之临,南山昊天，刺政关身。疾悲无辜，皆憎为仇。,1
20,乾之观,江河淮海，天之奥府。众利所聚，可以饶有。乐我君子，百福是受。,1
21,乾之噬嗑,坚冰黄鸟，终日悲号。不见白粒，但见藜蒿，数惊鸷鸟，为我心忧。,1
22,乾之贲,室如悬磬，既危且殆。早见之士，依山谷处。,1
23,乾之剥,大禹戒路，蚩尤除道。周匝万里，不危不殆，见其所使，无所不在。,1
24,乾之复,三人为旅，俱归北海。入门上堂，拜谒王母，饮劳我酒。,1
25,乾之无妄,传言相误，非干径路。鸣鼓逐狐，不知迹处。,1
26,乾之大畜,三羊争雌，相逐奔驰。终日不食，精气劳疲。,1
27,乾之颐,纯服黄裳，戴上以兴。德义既生，天下归仁。,1
28,乾之大过,桀跖并处，人民愁苦。权兵荷粮，战于齐鲁。,1
29,乾之坎,黄鸟采绿，既嫁不答。念我父兄，思复邦国。,1
30,乾之离,胎生孚乳，长息成就。充满帝室，家国昌富。,1
31,乾之咸,三人求桔，反得大粟。女贵以富，黄金百镒,1
32,乾之恒,东山西岳，会合俱食。百家送从，以成恩福。,1
33,乾之遁,弱鸡无距，与鹊交斗。翅折目盲，为鸠所伤。,1
34,乾之大壮,隙大墙坏，蠹众木折。狼虎为政，天降罪罚。高弑望夷，胡亥以毙。,1
35,乾之晋,三痴俱走，迷路失道。惑不知归，反入患口。,1
36,乾之明夷,弓矢俱张，把弹折弦。丸发不至，道遇害患。,1
37,乾之家人,三女求夫，伺候山隅，不见复关，长思叹忧。,1
38,乾之睽,阳旱炎炎，伤害禾谷。穑人无食，耕夫叹息。,1
39,乾之蹇,骑豚逐羊，不见所望。径涉虎庐，亡羝失羔。,1
40,乾之解,暗昧冥语，相传诖误。鬼魅所居，谁知卧处。,1
41,乾之损,姬姜祥淑，而人偶食。论仁议福，以安王室。,1
42,乾之益,公孙驾骊，载聘东齐。延陵说产，遗季纻衣。,1
43,乾之夬,孤竹之墟，失妇亡夫。伤于蒺藜，不见少妻，东郭棠姜，武氏以亡。,1
44,乾之姤,仁政不暴，凤凰来舍。四时顺节，民安其处。,1
45,乾之萃,任劣力薄，孱驽恐怯。如猬见鹊，不敢格拒。,1
46,乾之升,卫侯东游，惑于少姬。忘我考妣，久迷不来。,1
47,乾之困,噂噂所言，莫如我垣。欢喜坚固，可以长安。,1
48,乾之井,鸑鸣岐山，鳖应山渊。男女构精，万物化生。文王以成，为开周庭。,1
49,乾之革,玄黄虺隤，行者劳疲，役夫憔悴，逾时不归。,1
50,乾之鼎,弱足钺跟，不利出门。市贾不利，折亡为患。,1
51,乾之震,悬貆素餐，居非其安。失舆剥庐，休坐徒居。,1
52,乾之艮,民怯城恶，奸人所伏。寇贼大至，入我邦城，妻子俘获。,1
53,乾之渐,阳低头，阴仰首，水为灾，伤我足，进不利，难生子。,1
54,乾之归妹,背北相憎，心意不同，如火与金。,1
55,乾之丰,太微帝室，黄帝所值。藩屏周卫，不可得入，常安无患。,1
56,乾之旅,茧栗牺牲，敬享鬼神。神嗜饮食，受福多孙。,1
57,乾之巽,出门逢恶，与祸为怨。更相击刺，伤我手端。,1
58,乾之兑,鹢飞中途，举事不进，众人乱溃。,1
59,乾之涣,跛踦相随，日暮牛疲。陵迟后旅，失利亡雌。,1
60,乾之节,龙角博颡，位至公卿。世禄长久，起动安宁。,1
61,乾之中孚,舜升大禹，石夷之野。征诣王庭，拜治水土。,1
62,乾之小过,从风放火，荻芝俱死。三害集房，叔子中伤。,1
63,乾之既济,梗生荆山，命制输班。袍衣剥脱，夏热冬寒。饥饿枯槁，众人莫怜。,1
64,乾之未济,长面大鼻，来解己忧。遗吾福子，与我惠妻，惠吾嘉喜。,1
65,坤之坤,不风不雨，白日皎皎。宜出驱驰，通利大道。,2
66,坤之乾,谷风步气，万物出生。萌庶长养，华叶茂盛。,2
67,坤之屯,苍龙单独，与石相触。催折两角，室家不足。,2
68,坤之蒙,城上有鸟，自名破家。招呼鸠毒，为国患灾。,2
69,坤之需,霜降闭户，蜇虫隐处。不见日月，与死为伍。,2
70,坤之讼,天之德室，温仁手福。衣裳所在，凶恶不起。,2
71,坤之师,皇陛九重，绝不可登。未见王公，谓天盖高。,2
72,坤之比,孔德如玉，出于幽谷。升高鼓翼，辉光照国。,2
73,坤之小畜,五轭四轨，复得饶有。陈力就列，驺虞悦喜。,2
74,坤之履,四足无角，君子所服。南征述职，以惠我国。,2
75,坤之泰,雷行相逐，无有攸息。战于平陆，为夷所覆。,2
76,坤之否,六龙争极，服在下饰。谨慎管钥，结禁毋出。,2
77,坤之同人,长男少女，相向共语，福禄欢喜。,2
78,坤之大有,奸延恶人，使德不通。炎火为殃，禾谷大伤。,2
79,坤之谦,修其翰翼，随风向北，至虞夏国，与舜相得。年岁大乐，邑无盗贼。,2
80,坤之豫,铅刀攻玉，坚不可得。尽我筋力，胝茧为疾。,2
81,坤之随,举被覆目，不见日月。衣裳簠簋，就长夜室。,2
82,坤之蛊,贼仁伤德，天怒不福。斩刈宗社，失其邦域。,2
83,坤之临,白龙赤虎，战斗俱怒。蚩尤败走，死与鱼口。,2
84,坤之观,北辰紫宫，衣冠立中。含和建德，常受天福。,2
85,坤之噬嗑,稷为尧使，西见王母。拜请百福，赐我善子。,2
86,坤之贲,三人异趣，反覆迷惑。一身五心，乱无所得。,2
87,坤之剥,南山大玃，盗我媚妾。怯不敢逐，退而独宿。,2
88,坤之复,众鬼所趋，反作大怪。九身无头，魂惊魄去，不可以居。,2
89,坤之无妄,延头远望，眯为目疾。不见叔姬，使伯心忧。,2
90,坤之大畜,典册法书，藏在兰台。虽遭乱溃，独不遇灾。,2
91,坤之颐,自卫反鲁，时不我与。冰炭异室，仁道隔塞。,2
92,坤之大过,瘤瘿秃疥，为身疮害。疾病癃残，常不远逮。,2
93,坤之坎,东齐郭卢，嫁于洛都。俊良美好，媒利过倍。,2
94,坤之离,齐鲁争言，战于龙门。构怨连祸，三世不安。,2
95,坤之咸,膏泽肥壤，农人丰敞。利居长安，历世无患。,2
96,坤之恒,仓盈庾亿，宜种黍稷。年岁丰熟，民得安息。,2
97,坤之遁,鸱鸮破斧，邦人危殆。赖其忠德，转祸为福，倾危复立。,2
98,坤之大壮,岁疾无年，虐政害民。乾溪骊山，秦楚结冤。,2
99,坤之晋,捯洁累累，缔结难解。嫫母衒嫁，媒不得坐，自为身祸。,2
100,坤之明夷,訾陬开门，鹤鸣弹冠，章甫进用，舞韶和鸾。三人翼事，国无灾患。,2
101,坤之家人,弟妹和居，与类相扶。愿慕群丑，不离其处。,2
102,坤之睽,邯郸反言，兄弟生患。涉叔忧恨，卒死不还。,2
103,坤之蹇,三人逐兔，各争有得，爱亡善走，多获鹿子。,2
104,坤之解,北辰紫宫，衣冠立中。含和建德，常受天福。,2
105,坤之损,拜跪请免，不得其哺。俯首衔枚，低头北走。,2
106,坤之益,鹤盗我珠，逃于东隅。求之郭嘘，不见所居。,2
107,坤之夬,一簧两舌，妄言谬语。三奸成虎，曾母投杼。,2
108,坤之姤,孤独特处，莫与为旅。身日劳苦，使布五谷，阴阳顺序。,2
109,坤之萃,褰衣涉河，涧流浚多。赖遇舟子，济脱无他。,2
110,坤之升,凭河登山，道路阻难，求事少便。,2
111,坤之困,兔罝之荣，不失其恭，和谦致乐，君子攸同。,2
112,坤之井,三女求夫，伺候山隅，不见复关，泣涕涟如。,2
113,坤之革,螟虫为贼，害我五谷。中溜空虚，家无所食。,2
114,坤之鼎,望尚阿衡，太宰国公。藩屏辅弼，福禄来同。,2
115,坤之震,三年生狗，以戌为母。荆夷上侵，姬伯出走。,2
116,坤之艮,途遏道塞，求事不得。,2
117,坤之渐,探怀得蚤，无有凶忧，所愿失道，善居渐好。,2
118,坤之归妹,飞楼属道，趾多搅垣，居之不安，覆厌为患。,2
119,坤之丰,义不胜情，以欲自倾，几危利宠，折角催颈。,2
120,坤之旅,潼翁蔚荟，扶首来会，津液来降，流淹滂霈。,2
121,坤之巽,白驹生刍，猗猗盛姝。赫喧君子，乐以忘忧。,2
122,坤之兑,车驰人趋，卷甲相仇。齐鲁寇战，败于犬丘。,2
123,坤之涣,举首望城，不见子贞，使我悔生。,2
124,坤之节,龙斗时门，失理伤贤。内畔外贼，则生祸难。,2
125,坤之中孚,安如泰山，福喜屡臻。虽有豹虎，不致危身。,2
126,坤之小过,初忧后喜，与福为市。八佾列陈，饮御嘉友。,2
127,坤之既济,持刀操肉，对酒不食。夫行从军，小子入狱，抱膝独宿。,2
128,坤之未济,阴衰老极，阳建其德。履离戴光，天下昭明。功业不长，虾蟆代王。,2
129,屯之屯,兵征大宛，北出玉关。与胡寇战，平城道西，七日绝粮，身几不全。,3
130,屯之乾,泛泛柏舟，流行不休。耿耿寤寐，心怀大忧。仁不逢时，身隐穷居。,3
131,屯之坤,采薪得麟，大命陨颠。豪雄争名，天下四分。,3
132,屯之蒙,山崩谷绝，天福尽竭。泾渭失纪，玉历尽已。,3
133,屯之需,夏台羑里，汤文所厄。鬼侯俞贿，商王解舍。,3
134,屯之讼,泥津污辱，弃捐沟渎。所共笑哭，终不显录。,3
135,屯之师,李梅冬实，国多盗贼。扰乱并作，君不能息。,3
136,屯之比,獐鹿逐牧，饱归其居。反还次舍，无有疾故。,3
137,屯之小畜,夹河为婚，期至无船。摇心失望，不见所欢。,3
138,屯之履,百足俱行，相福为强。三圣翼事，王室宠光。,3
139,屯之泰,坐位失处，不能自居。贼破王邑，阴阳颠倒。,3
140,屯之否,登几上舆，驾驷南游。合纵散横，燕齐以强。,3
141,屯之同人,三孙荷弩，无益于辅。城弱不守，邦君受讨。,3
142,屯之大有,河伯大呼，津不得渡。船空无人，往来亦难。,3
143,屯之谦,甘露醴泉，太平机关。仁德感应，岁乐民安。,3
144,屯之豫,重茵厚席，循皋採藿。虽踬不惧，反复其宅。,3
145,屯之随,太乙驾骝，从天上来。征我叔季，封为鲁侯。,3
146,屯之蛊,南巴六安，石解戟天。所指不已，耊老复丁。弊室旧嘘，更为新家。,3
147,屯之临,家给人足，颂声并作。四夷宾伏，干戈韬阁。,3
148,屯之观,东邻嫁女，为王妃后。庄公筑馆，以尊王母。归于京师，季姜悦喜。,3
149,屯之噬嗑,陈妻敬仲，兆兴齐姜。营丘是适，八世大昌。,3
150,屯之贲,路多枳棘，步刺我足。不利旅客，为心作毒。,3
151,屯之剥,天官列宿，五神共舍。宫阙光坚，君安所居。,3
152,屯之复,牧羊稻园，闻虎呻喧。惧畏惕息，终无祸患。,3
153,屯之无妄,鸣条之图，北奔犬胡。左衽为长，国号匈奴。主君旄头，立尊单于。,3
154,屯之大畜,克身洁吉，逢禹巡狩，锡我玄圭，拜受福佑。,3
155,屯之颐,冬华不实，国多盗贼。疾病难医，鬼哭其室。,3
156,屯之大过,襄送季女，至于荡道。齐子旦夕，留连久处。,3
157,屯之坎,朽根倒树，花叶落去。卒逢火焱，随风偃仆。,3
158,屯之离,阴变为阳，女化作男。治道得通，君臣相承。,3
159,屯之咸,炎绝续光，火灭复明。简易理得，以成乾功。,3
160,屯之恒,多载重负，捐弃于野。予母谁子，但自劳苦。,3
161,屯之遁,江河海泽，众利安宅，可以富有，饮御嘉客。,3
162,屯之大壮,冬采薇兰，地冻坚坼。利走室北，暮无所得。,3
163,屯之晋,乌鸣嘻嘻，天火将起。燔我室屋，灾及姬后。,3
164,屯之明夷,虿室蜂户，螯我手足。不可进取，为身害速。,3
165,屯之家人,崔嵬北岳，天神贵客。温仁正直，主布恩德。闵哀不已，蒙受大福。,3
166,屯之睽,伯蹇叔盲，莫与守床。失我衣裘，伐民除乡。,3
167,屯之蹇,为季求妇，家在东海。水长无船，不见所欢。,3
168,屯之解,山陵丘墓，魂魄失舍，精神尽竭，长寝不觉。,3
169,屯之损,踦牛失角，下山伤轴，失其利禄。,3
170,屯之益,水载船舟，无根以浮。往来溶溶，心劳且忧。,3
171,屯之夬,有鸟来飞，集于古树。鸣声可恶，主将出去。,3
172,屯之姤,东徙不时，触患离忧。井泥无濡，思叔旧居。,3
173,屯之萃,黄帝所生，伏羲之宇。兵刃不至，利以居止。,3
174,屯之升,东山救乱，处妇思夫。劳我君子，役无休已。,3
175,屯之困,跛踬未起，先利后市，不得鹿子。,3
176,屯之井,大蛇当路，使季畏惧。汤火之灾，切近我肤。赖其天幸，趋于王庐。,3
177,屯之革,从容长闲，游戏南山。拜祠祷神，神使无患。,3
178,屯之鼎,区脱康居，慕义入朝。湛露之欢，三爵毕恩。复归野庐，与母相扶。,3
179,屯之震,龟鳖列市，河海饶有。长钱山贾，商李悦喜。,3
180,屯之艮,年常蒙庆，今岁受福。三夫采葩，出必有得。,3
181,屯之渐,二人俱东，道路争讼。意乖不同，使君汹汹。,3
182,屯之归妹,树我藿豆，鹿兔为食。君不恤护，秋无收入。,3
183,屯之丰,黄鸟悲鸣，愁不见星。困于鸷鸟，鹯使我惊。,3
184,屯之旅,双凫俱飞，欲归稻食。经涉萑泽，为矢所射，伤我胸臆。,3
185,屯之巽,久客无依，思归我乡。雷雨盛溢，道未得通。,3
186,屯之兑,道路僻除，南至东辽。卫子善辞，使国无忧。,3
187,屯之涣,同枕同袍，中年相知。少贾无失，独居愁思。,3
188,屯之节,众神集众，相与议语。南国虐乱，百姓愁苦。兴师征讨，更立贤主。,3
189,屯之中孚,北陆闭蜇，隐伏不出。目盲耳聋，道路不通。,3
190,屯之小过,痴狂妄作，心逛善惑。迷行失路，不知南北。,3
191,屯之既济,栋隆辅强，宠贵日光。福善并作，乐以高明。,3
192,屯之未济,爱我婴女，牵衣不与。冀幸高贵，反曰下贱。,3
193,蒙之蒙,何草不黄，至未尽玄。室家分离，悲愁于心。,4
194,蒙之乾,海为水王，聪圣且明。百流归德，无有叛逆，常饶优足。,4
195,蒙之坤,天之所有，祸不过家。左辅右弼，金玉满堂。常盈不亡，富如敖仓。,4
196,蒙之屯,安息康居，异国穹庐。非吾习俗，使我心忧。,4
197,蒙之需,范公鸱夷，善贾饰资。东之营丘，易字子皮。把珠载金，多得利归。,4
198,蒙之讼,老杨日衰，条多枯枝。爵级不进，遂下摧隤。,4
199,蒙之师,小狐渡水，污濡其尾。利得无几，与道合契。,4
200,蒙之比,豕生鱼鲂，鼠舞庭堂。奸佞施毒，上下昏荒，君失其国。,4
201,蒙之小畜,天地配享，六位光明。阴阳顺序，以成和平。,4
202,蒙之履,踝踵足伤，右指病痈。失旅后时，利走不来。,4
203,蒙之泰,异体殊患，各有所属。喜邻孤媪，欲寄我家。王母骂詈，求之不得。,4
204,蒙之否,操稻乡亩，折祸稷黍。饮食充口，安利无咎。,4
205,蒙之同人,所受大喜，福禄重来。乐且日富，蒙庆得财。,4
206,蒙之大有,举杯饮酒，无益温寒，指直失取，亡利不欢。,4
207,蒙之谦,日月指望，光明盛昌。三圣茂承，功德大隆。,4
208,蒙之豫,猾夫争强，民去其乡。公孙叔子，战于城南。,4
209,蒙之随,猿堕高木，不踒手足。还归其室，保我金玉。,4
210,蒙之蛊,逐狐东山，水遏我前。深不可涉，失利后便。,4
211,蒙之临,凿井求玉，非卞氏宝。名困身辱，劳无所得。,4
212,蒙之观,黄玉温厚，君子所服。甘露溽暑，万物生茂。,4
213,蒙之噬嗑,画龙头颈，文章不成。甘言善语，说辞无名。,4
214,蒙之贲,招祸致凶，来弊我邦。病在手足，不得安息。,4
215,蒙之剥,履位乘势，靡有绝毙。替为隶圉，与众庶伍。,4
216,蒙之复,獐鹿雉兔，群聚东囿。庐黄白脊，俱往趋逐。九齚十得，君子有喜。,4
217,蒙之无妄,治金未成，纬画无名。长子逐兔，鹿起失路。后利不得，因无所据。,4
218,蒙之大畜,天厌周德，命与仁国。以礼靖民，兵革休息。,4
219,蒙之颐,重译贺芝，来除我忧。善说逐良，与喜相求。,4
220,蒙之大过,膏泽肥壤，人民孔乐。宜利俱止，长安富贵。,4
221,蒙之坎,白龙黑虎，起鬐暴怒。战于涿鹿，蚩尤败走。居止不殆，君安其所。,4
222,蒙之离,抱关传语，聋跛摧殆。众贱无下，灾殃所在。,4
223,蒙之咸,忧祸解除，喜至庆来。坐立欢门，与乐为邻。,4
224,蒙之恒,折锋载殳，舆马放休。狩军依营，天下安宁。,4
225,蒙之遁,至德之君，仁政且温。伊吕股肱，国富民安。,4
226,蒙之大壮,千里望城，不见山青。老兔虾蟆，远绝无家。,4
227,蒙之晋,有莘季女，为夏妃后。贵夫寿子，母字四海。,4
228,蒙之明夷,不虞之患，祸至无门。奄忽暴卒，痛伤我心。,4
229,蒙之家人,飞鹰退去，不食邻鸟。忧患解除，君主安居。,4
230,蒙之睽,跮蹉侧跌，申酉为祟。亥戌灭明，颜子隐藏。,4
231,蒙之蹇,司录凭怒，谋议无道。商民失政，殷人乏祀。,4
232,蒙之解,望鸡得雉，冀马获驹。大德生少，有廖从居。,4
233,蒙之损,忉忉怛怛，如将不活。黍稷之恩，灵辄以存。,4
234,蒙之益,莫莫辑辑，夜作昼匿。谋议我资，来攻我室。空尽我财，几无以食。,4
235,蒙之夬,天之所坏，不可强支。众口指笑，虽贵必危。,4
236,蒙之姤,目动睫瞤，喜来加身。举家蒙欢，吉利无殃。,4
237,蒙之萃,鼋羹芬香，染指弗尝。口饥于手，子公恨馋。,4
238,蒙之升,天福所丰，兆如飞龙。成子得志，六三以兴。,4
239,蒙之困,氓伯以婚，抱布自媒。弃礼急情，卒罹悔忧。,4
240,蒙之井,夏姬亲附，心听悦喜。利以搏取，无言不许。,4
241,蒙之革,南山昊天，刺政闵身。疾悲无辜，背憎为仇。,4
242,蒙之鼎,三人为旅，俱归北海。入门上堂，拜谒王母。劳赐我酒，欢乐无强。,4
243,蒙之震,愆淫旱疾，伤害稼穑。丧制病来，农人无食。,4
244,蒙之艮,攫饭把肉，以就口食。所往必得，无有虚乏。,4
245,蒙之渐,鸟飞无翼，兔走折足。虽欲会同，未得所欲。,4
246,蒙之归妹,体重飞难，不得逾关，不离室垣。,4
247,蒙之丰,四雄并处，人民愁苦。拥兵西东，不得安所。,4
248,蒙之旅,译重关牢，求解己忧。心感乃成，与喜俱居。,4
249,蒙之巽,患解忧除，王母相于。与喜俱来，使我安居。,4
250,蒙之兑,冬生不华，老女无家。霜冷蓬室，更为枯株。,4
251,蒙之涣,震慄恐惧，多所畏恶。行道留难，不可以步。,4
252,蒙之节,三人共妻，莫适为雌。子无名氏，公不可知。,4
253,蒙之中孚,早凋被霜，花叶不长。非时为灾，家受其殃。,4
254,蒙之小过,雉兔之东，狼虎所从，贪叨凶恶，不可止息。,4
255,蒙之既济,马惊破车，主坠深沟。身死魂去，离其室庐。,4
256,蒙之未济,山林麓薮，非人所往。鸟兽无礼，使我心苦。,4
257,需之需,久旱三年，草木不生。粢盛空乏，无以供灵。,5
258,需之乾,火灭复息，君明其德，仁人可遇，身受利福。,5
259,需之坤,温山松柏，常茂不落。鸾凤所庇，得其欢乐。,5
260,需之屯,西诛不复，恃强负力。倍道趋敌，师徒败覆。,5
261,需之蒙,三涂五岳，阳城太室，神明所伏，独无兵革。,5
262,需之讼,三牛生狗，以戌为母。荆夷上侵，姬伯出走。,5
263,需之师,凫游江海，役行千里。以为死亡，复见空素。长主凶忧。,5
264,需之比,太乙驾骝，从天上来，征君叔季，封为鲁候，无有凶忧。,5
265,需之小畜,纴绩独居，寡处无夫。阴阳失忘，为人仆使。,5
266,需之履,兵征大宛，北出玉门。与胡寇战，平城道西。七日绝粮，身几不全。,5
267,需之泰,楚灵暴虐，疲极民力。祸起乾溪，弃疾作毒。扶仗奔逃，身死亥室。,5
268,需之否,雌单独居，归其本巢。毛羽憔悴，志如死灰。,5
269,需之同人,两矛相刺，勇力钧敌。交绥结如，不破不缺。,5
270,需之大有,乘船渡济，载水逢火。赖幸免祸，蒙我生全。,5
271,需之谦,丧宠溢尤，政倾家覆。我宗失国，秦灭周室。,5
272,需之豫,冬无藏冰，春阳不通。阴流为贼，国被其殃。,5
273,需之随,田鼠野鸡，意常欲逃。拘制笼槛，不得动摇。,5
274,需之蛊,佩玉蕊兮，无所系之。旨酒一壶，莫与笑语。孤寡独特，常愁忧苦。,5
275,需之临,没游源口，求鲛为宝。家危自俱，复出生道。,5
276,需之观,河水孔穴，坏败我室。水深无岸，鱼鳖倾侧。,5
277,需之噬嗑,教羊牧兔，使鱼捕鼠。任非其人，费日无功。,5
278,需之贲,升户入室，就温燠食。冰冻北陆，不能相贼。,5
279,需之剥,孤竹之嘘，老妇无夫。伤于蒺藜，不见少妻。东郭棠姜，武氏破亡。,5
280,需之复,凶祸灾殃，日益明彰。福不可剺，三郤夷伤。,5
281,需之无妄,载璧秉珪，请命于河。周公作誓，冲人瘳愈。,5
282,需之大畜,鸟升鹊举，照临东海。龙降庭坚，为陶叔后。封圻英六，履禄绥厚。,5
283,需之颐,危坐至暮，请求不得。膏泽不降，政戾民忒。,5
284,需之大过,宜昌娶妇，东家歌舞。宴乐有序，长乐嘉喜。,5
285,需之坎,凿井求玉，非卞氏宝。名因身辱，劳无所得。,5
286,需之离,鸿鹄思其雄，欲随凤东。顺理羽翼，出次须日。中留北邑，复反其室。,5
287,需之咸,早霜晚雪，伤害禾麦。损功弃力，饥无所食。,5
288,需之恒,蝙螺生子，深目黑丑。虽饰相就，众人莫取。,5
289,需之遁,去如飞鸿，避凶直东。遂得全脱，与福相逢。,5
290,需之大壮,婚姻合配，同枕共牢，以降休嘉，子孙封候。,5
291,需之晋,咸阳辰巳，长安戌亥。丘陵生止，非鱼鰌市。不可辞阻，终无悔咎。,5
292,需之明夷,螟虫为贼，害我五谷。箪食空虚，家无所食。,5
293,需之家人,谋恩拜德，东归吾国。慷慨宴笑，欢乐有福。,5
294,需之睽,斋具赎狸，不听我辞。系于虎须，牵不得来。,5
295,需之蹇,比目附翼，欢乐相得。行止集周，终不离忒。,5
296,需之解,一指食肉，口无所得。染其鼎鼐，舌馋于腹。,5
297,需之损,曳纶江海，钩挂鲂鲤。王孙得利，以享仲友。,5
298,需之益,商纣牧野，颠败所在。赋敛重数，黎元愁苦。,5
299,需之夬,北辰紫宫，衣冠立中。含和建德，常受天福。,5
300,需之姤,轻战尚勇，不知兵权。为敌所制，从师北奔。,5
301,需之萃,大口宣舌，神使仲言。黄龙景星，出应德门。与福上天，天下安昌。,5
302,需之升,凶子祸孙，把剑向门。凶讼欢嚣，惊骇我家。,5
303,需之困,祝伯善言，能事鬼神。辞祁万岁，使君延年。,5
304,需之井,圭璧琮璋，执贽见王。百里宁戚，应聘齐秦。,5
305,需之革,昧旦乘车，履危蹈沟。亡失裙襦，催折两轴。,5
306,需之鼎,胶着木连，不出牛栏。斯飨羔羊，家室相安。,5
