id,name,degrees
论语总字数为：16081；不重复字数为：1340
1,子,976
2,曰,758
3,之,613
4,不,583
5,也,533
6,而,344
7,其,270
8,者,219
9,人,219
10,以,211
11,有,200
12,于,183
13,矣,181
14,为,171
15,君,160
16,乎,158
17,可,156
18,如,154
19,与,144
20,无,131
21,言,130
22,则,124
23,问,121
24,知,118
25,何,118
26,吾,113
27,仁,110
28,夫,105
29,道,89
30,焉,88
31,行,82
32,谓,78
33,礼,75
34,必,75
35,孔,74
36,三,72
37,斯,71
38,能,69
39,见,67
40,学,66
41,、,63
42,哉,61
43,事,61
44,是,60
45,闻,59
46,公,59
47,未,57
48,路,54
49,我,53
50,好,53
51,在,51
52,已,50
53,得,50
54,所,50
55,大,50
56,天,49
57,小,49
58,民,49
59,邦,48
60,乐,48
61,使,47
62,亦,47
63,下,46
64,欲,44
65,贡,44
66,政,43
67,诸,43
68,从,43
69,食,42
70,善,42
71,文,42
72,后,41
73,德,40
74,恶,39
75,对,39
76,求,39
77,信,38
78,死,38
79,然,38
80,仲,35
81,由,35
82,一,34
83,非,33
84,出,32
85,过,32
86,足,31
87,虽,31
88,十,31
89,居,30
90,夏,29
91,父,29
92,己,29
93,及,29
94,尔,29
95,予,28
96,上,27
97,张,27
98,季,27
99,成,27
100,友,27
101,色,27
102,今,26
103,立,26
104,臣,26
105,齐,26
106,中,26
107,远,26
108,思,25
109,贤,25
110,命,24
111,伯,24
112,义,24
113,正,24
114,门,23
115,曾,23
116,敢,23
117,犹,23
118,敬,22
119,生,22
120,颜,22
121,丧,22
122,难,22
123,日,22
124,直,22
125,周,21
126,用,21
127,说,21
128,自,21
129,先,20
130,达,20
131,年,20
132,四,20
133,告,20
134,怨,20
135,第,20
136,至,19
137,多,19
138,孝,19
139,女,19
140,弟,19
141,师,19
142,氏,19
143,莫,18
144,忠,18
145,冉,18
146,疾,18
147,服,18
148,将,18
149,丘,18
150,士,18
151,失,17
152,安,17
153,耻,17
154,志,17
155,二,17
156,百,17
157,宰,17
158,孙,17
159,五,17
160,渊,17
